inclusion_filter,story_condition,load_condition,analysis_scope,agent_role,dv,condition,n,mean,median,std
included_only,trolley,pooled,within_subjects_all_vignettes,distal,blame,CC,189,6.343915343915344,6.0,0.9856564467871648
included_only,trolley,pooled,within_subjects_all_vignettes,distal,blame,CH,189,6.962962962962963,7.0,0.9013604987023567
included_only,trolley,pooled,within_subjects_all_vignettes,distal,blame,DIV,189,6.439153439153439,6.0,0.8768605281945713
included_only,trolley,pooled,within_subjects_all_vignettes,distal,wrong,CC,189,6.201058201058201,6.0,1.0271831663500512
included_only,trolley,pooled,within_subjects_all_vignettes,distal,wrong,CH,189,6.830687830687831,7.0,1.0173547535570682
included_only,trolley,pooled,within_subjects_all_vignettes,distal,wrong,DIV,189,6.322751322751323,6.0,1.0192617512778166
included_only,trolley,pooled,within_subjects_all_vignettes,distal,punish,CC,189,1.1091485452394125,1.0986122886681098,0.5172985703159015
included_only,trolley,pooled,within_subjects_all_vignettes,distal,punish,CH,189,1.2919843944082976,1.0986122886681098,0.4825772490931276
included_only,trolley,pooled,within_subjects_all_vignettes,distal,punish,DIV,189,1.1443043414221654,1.0986122886681098,0.5119304659927704
included_only,trolley,pooled,within_subjects_all_vignettes,proximate,blame,CC,189,7.708994708994709,8.0,0.8088431093257649
included_only,trolley,pooled,within_subjects_all_vignettes,proximate,blame,CH,189,1.2222222222222223,1.0,0.4982237954520137
included_only,trolley,pooled,within_subjects_all_vignettes,proximate,wrong,CC,189,7.571428571428571,8.0,1.0165798790335794
included_only,trolley,pooled,within_subjects_all_vignettes,proximate,wrong,CH,189,1.4444444444444444,1.0,0.9070253775176266
included_only,trolley,pooled,within_subjects_all_vignettes,proximate,punish,CC,189,1.5093426416486404,1.3862943611198906,0.5511319948768406
included_only,trolley,pooled,within_subjects_all_vignettes,proximate,punish,CH,189,0.22823931704983125,0.0,0.48181130869856154
included_only,trolley,pooled,between_subjects_first_vignette,distal,blame,CC,82,6.560975609756097,7.0,0.84761919261781
included_only,trolley,pooled,between_subjects_first_vignette,distal,blame,CH,54,7.407407407407407,7.0,0.49596555413404597
included_only,trolley,pooled,between_subjects_first_vignette,distal,blame,DIV,53,6.132075471698113,6.0,0.899524144479834
